Year,Bank,Currency,Rate_12M_Pct,Bank_KR
2009,KDB,GBP,1.2,산업은행 (KDB)
2010,KDB,GBP,0.8,산업은행 (KDB)
2011,KDB,GBP,1.1,산업은행 (KDB)
2012,KDB,GBP,1.1,산업은행 (KDB)
2013,KDB,GBP,0.6,산업은행 (KDB)
2014,KDB,GBP,0.6,산업은행 (KDB)
2015,KDB,GBP,0.6,산업은행 (KDB)
2016,KDB,GBP,0.5,산업은행 (KDB)
2017,KDB,GBP,0.35,산업은행 (KDB)
2018,KDB,GBP,0.7,산업은행 (KDB)
2019,KDB,GBP,0.7,산업은행 (KDB)
2004,Shinhan,GBP,4.35,신한은행 (Shinhan Bank)
2005,Shinhan,GBP,4.15,신한은행 (Shinhan Bank)
2006,Shinhan,GBP,4.55,신한은행 (Shinhan Bank)
2007,Shinhan,GBP,5.45,신한은행 (Shinhan Bank)
2008,Shinhan,GBP,4.95,신한은행 (Shinhan Bank)
2009,Shinhan,GBP,1.05,신한은행 (Shinhan Bank)
2010,Shinhan,GBP,0.65,신한은행 (Shinhan Bank)
2011,Shinhan,GBP,0.95,신한은행 (Shinhan Bank)
2012,Shinhan,GBP,0.95,신한은행 (Shinhan Bank)
2013,Shinhan,GBP,0.5,신한은행 (Shinhan Bank)
2014,Shinhan,GBP,0.5,신한은행 (Shinhan Bank)
2015,Shinhan,GBP,0.5,신한은행 (Shinhan Bank)
2016,Shinhan,GBP,0.4,신한은행 (Shinhan Bank)
2017,Shinhan,GBP,0.25,신한은행 (Shinhan Bank)
2018,Shinhan,GBP,0.6,신한은행 (Shinhan Bank)
2019,Shinhan,GBP,0.6,신한은행 (Shinhan Bank)
2004,KEB_Hana,GBP,4.45,외환은행/KEB하나은행
2005,KEB_Hana,GBP,4.25,외환은행/KEB하나은행
2006,KEB_Hana,GBP,4.65,외환은행/KEB하나은행
2007,KEB_Hana,GBP,5.55,외환은행/KEB하나은행
2008,KEB_Hana,GBP,5.05,외환은행/KEB하나은행
2009,KEB_Hana,GBP,1.15,외환은행/KEB하나은행
2010,KEB_Hana,GBP,0.75,외환은행/KEB하나은행
2011,KEB_Hana,GBP,1.05,외환은행/KEB하나은행
2012,KEB_Hana,GBP,1.05,외환은행/KEB하나은행
2013,KEB_Hana,GBP,0.58,외환은행/KEB하나은행
2014,KEB_Hana,GBP,0.58,외환은행/KEB하나은행
2015,KEB_Hana,GBP,0.58,외환은행/KEB하나은행
2016,KEB_Hana,GBP,0.48,외환은행/KEB하나은행
2017,KEB_Hana,GBP,0.32,외환은행/KEB하나은행
2018,KEB_Hana,GBP,0.68,외환은행/KEB하나은행
2019,KEB_Hana,GBP,0.68,외환은행/KEB하나은행
2004,KB,GBP,4.3,국민은행 (KB Kookmin)
2005,KB,GBP,4.1,국민은행 (KB Kookmin)
2006,KB,GBP,4.5,국민은행 (KB Kookmin)
2007,KB,GBP,5.4,국민은행 (KB Kookmin)
2008,KB,GBP,4.9,국민은행 (KB Kookmin)
2009,KB,GBP,1.0,국민은행 (KB Kookmin)
2010,KB,GBP,0.6,국민은행 (KB Kookmin)
2011,KB,GBP,0.9,국민은행 (KB Kookmin)
2012,KB,GBP,0.9,국민은행 (KB Kookmin)
2013,KB,GBP,0.45,국민은행 (KB Kookmin)
2014,KB,GBP,0.45,국민은행 (KB Kookmin)
2015,KB,GBP,0.45,국민은행 (KB Kookmin)
2016,KB,GBP,0.38,국민은행 (KB Kookmin)
2017,KB,GBP,0.22,국민은행 (KB Kookmin)
2018,KB,GBP,0.55,국민은행 (KB Kookmin)
2019,KB,GBP,0.55,국민은행 (KB Kookmin)
2004,IBK,GBP,4.45,IBK기업은행 (IBK)
2005,IBK,GBP,4.25,IBK기업은행 (IBK)
2006,IBK,GBP,4.65,IBK기업은행 (IBK)
2007,IBK,GBP,5.55,IBK기업은행 (IBK)
2008,IBK,GBP,5.05,IBK기업은행 (IBK)
2009,IBK,GBP,1.15,IBK기업은행 (IBK)
2010,IBK,GBP,0.75,IBK기업은행 (IBK)
2011,IBK,GBP,1.05,IBK기업은행 (IBK)
2012,IBK,GBP,1.05,IBK기업은행 (IBK)
2013,IBK,GBP,0.58,IBK기업은행 (IBK)
2014,IBK,GBP,0.58,IBK기업은행 (IBK)
2015,IBK,GBP,0.58,IBK기업은행 (IBK)
2016,IBK,GBP,0.48,IBK기업은행 (IBK)
2017,IBK,GBP,0.32,IBK기업은행 (IBK)
2018,IBK,GBP,0.68,IBK기업은행 (IBK)
2019,IBK,GBP,0.68,IBK기업은행 (IBK)
2004,NH,GBP,4.25,NH농협은행 (NH Nonghyup)
2005,NH,GBP,4.05,NH농협은행 (NH Nonghyup)
2006,NH,GBP,4.45,NH농협은행 (NH Nonghyup)
2007,NH,GBP,5.35,NH농협은행 (NH Nonghyup)
2008,NH,GBP,4.85,NH농협은행 (NH Nonghyup)
2009,NH,GBP,0.95,NH농협은행 (NH Nonghyup)
2010,NH,GBP,0.55,NH농협은행 (NH Nonghyup)
2011,NH,GBP,0.85,NH농협은행 (NH Nonghyup)
2012,NH,GBP,0.85,NH농협은행 (NH Nonghyup)
2013,NH,GBP,0.42,NH농협은행 (NH Nonghyup)
2014,NH,GBP,0.42,NH농협은행 (NH Nonghyup)
2015,NH,GBP,0.42,NH농협은행 (NH Nonghyup)
2016,NH,GBP,0.35,NH농협은행 (NH Nonghyup)
2017,NH,GBP,0.2,NH농협은행 (NH Nonghyup)
2018,NH,GBP,0.52,NH농협은행 (NH Nonghyup)
2019,NH,GBP,0.52,NH농협은행 (NH Nonghyup)
